bin 20000 de 0.00773635
threshold 0
4.94353 5.39123e-08 1.41616e-07
4.95126 5.38581e-08 1.41617e-07
4.959 5.3804e-08 1.41617e-07
4.96674 5.37501e-08 1.41618e-07
4.97447 5.36962e-08 1.41618e-07
4.98221 5.36424e-08 1.41619e-07
4.98994 5.35887e-08 1.41619e-07
4.99768 5.35352e-08 1.4162e-07
5.00542 5.34817e-08 1.41621e-07
5.01315 5.34283e-08 1.41621e-07
5.02089 5.33751e-08 1.41622e-07
5.02863 5.33219e-08 1.41622e-07
5.03636 5.32688e-08 1.41623e-07
5.0441 5.32158e-08 1.41623e-07
5.05184 5.3163e-08 1.41623e-07
5.05957 5.31102e-08 1.41624e-07
5.06731 5.30575e-08 1.41624e-07
5.07504 5.30049e-08 1.41625e-07
5.08278 5.29524e-08 1.41625e-07
5.09052 5.29001e-08 1.41626e-07
5.09825 5.28478e-08 1.41626e-07
5.10599 5.27956e-08 1.41627e-07
